die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMSIDDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmsiddualcoreall_x_atpg_stack_x_normal_main_list,kill,parmsiddualcorec0,atpg,ph1,8
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMSIDDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmsiddualcoreall_x_atpg_stack_x_normal_main_list,kill,parmsiddualcorec0,atpg,ph2,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMSIDDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmsiddualcoreall_x_atpg_stack_x_normal_main_list,kill,parmsiddualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMSIDDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmsiddualcoreall_x_atpg_stack_x_normal_main_list,kill,parmsiddualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMSIDDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmsiddualcoreall_x_atpg_stack_x_normal_main_list,kill,parmsiddualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfedualcoreall_x_atpg_stack_x_normal_main_list,kill,parfedualcorec0,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfedualcoreall_x_atpg_stack_x_normal_main_list,kill,parfedualcorec0,atpg,ph2,5
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFEDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfedualcoreall_x_atpg_stack_x_normal_main_list,kill,parfedualcorec0,atpg,ph3,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMEUDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmeudualcoreall_x_atpg_stack_x_normal_main_list,kill,parmeudualcorec0,atpg,ph1,13
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMEUDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmeudualcoreall_x_atpg_stack_x_normal_main_list,kill,parmeudualcorec0,atpg,ph2,4
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMEUDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmeudualcoreall_x_atpg_stack_x_normal_main_list,kill,parmeudualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMEUDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmeudualcoreall_x_atpg_stack_x_normal_main_list,kill,parmeudualcorec0,atpg,ph4,1
