die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP20_VMIN_K_BGNIMH_SSN_FIXDIGW_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group20_x_atpg_ph1_x_normal_main_list,kill,group20,atpg,ph1,10
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP4_VMIN_K_BGNIMH_SNO_CFCIO_VMIN_X_X,x,x,scn_imh_bgnimh_sno_edt_group4_x_atpg_ph1_x_normal_main_list,kill,group4,atpg,ph1,5
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP36_VMIN_K_BGNIMH_SSN_FIXDIGW_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group36_x_atpg_ph1_x_normal_main_list,kill,group36,atpg,ph1,7
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP39_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group39_x_atpg_ph1_x_normal_main_list,kill,group39,atpg,ph1,6
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP7_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group7_x_atpg_ph1_x_normal_main_list,kill,group7,atpg,ph1,6
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP9_VMIN_K_BGNIMH_SSN_CFCIO_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group9_x_atpg_ph1_x_normal_main_list,kill,group9,atpg,ph1,6
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph1,19
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph2,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph3,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph4,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph5,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP10_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group10_x_atpg_stack_x_normal_main_list,kill,group10,atpg,ph6,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP11_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group11_x_atpg_stack_x_normal_main_list,kill,group11,atpg,ph1,3
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP11_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group11_x_atpg_stack_x_normal_main_list,kill,group11,atpg,ph2,1
imh,SCN,SCN_A_IMH_BGN_IMH,STUCK_GROUP11_VMIN_K_BGNIMH_SSN_X_VMIN_X_X,x,x,scn_imh_bgnimh_ssn_edt_group11_x_atpg_stack_x_normal_main_list,kill,group11,atpg,ph3,1
